Date,Open,High,Low,Close,Adj Close,Volume
2021-12-07,16.049999,16.690001,15.330000,16.440001,16.440001,1093800
2021-12-08,16.590000,17.215000,16.097000,17.030001,17.030001,586900
2021-12-09,16.549999,17.180000,16.219999,16.370001,16.370001,420400
2021-12-10,16.690001,17.170000,16.223000,17.129999,17.129999,456600
2021-12-13,16.790001,16.966999,14.410000,14.530000,14.530000,1012400
2021-12-14,14.260000,15.400000,13.921000,14.440000,14.440000,599600
2021-12-15,14.450000,15.270000,13.765000,15.060000,15.060000,581600
2021-12-16,15.440000,15.750000,13.720000,13.900000,13.900000,734300
2021-12-17,14.420000,15.380000,13.910000,14.900000,14.900000,3259700
2021-12-20,14.100000,14.210000,12.130000,12.210000,12.210000,1749500
2021-12-21,12.580000,13.390000,12.510000,12.770000,12.770000,974100
2021-12-22,13.250000,13.370000,12.610000,12.970000,12.970000,818700
2021-12-23,12.880000,13.050000,12.350000,12.610000,12.610000,417300
2021-12-27,12.620000,12.940000,12.100000,12.610000,12.610000,625600
2021-12-28,12.450000,12.760000,12.020000,12.140000,12.140000,398700
2021-12-29,12.223000,12.525000,11.690000,12.060000,12.060000,478500
2021-12-30,12.060000,13.090000,12.060000,12.430000,12.430000,658000
2021-12-31,12.330000,13.060000,12.190000,12.300000,12.300000,660700
2022-01-03,12.600000,13.220000,12.375000,13.110000,13.110000,627000
2022-01-04,13.140000,13.520000,12.350000,12.960000,12.960000,602600
2022-01-05,13.070000,13.280000,11.120000,11.440000,11.440000,1070800
2022-01-06,11.500000,11.598000,10.740000,11.310000,11.310000,887800
2022-01-07,11.320000,11.620000,10.780000,10.870000,10.870000,602000
2022-01-10,10.750000,10.790000,10.314000,10.720000,10.720000,470600
2022-01-11,10.730000,11.510000,10.500000,11.370000,11.370000,519600
2022-01-12,11.400000,11.750000,10.950000,11.180000,11.180000,370800
2022-01-13,11.210000,11.420000,10.800000,10.940000,10.940000,465800
2022-01-14,10.740000,11.050000,10.360000,10.380000,10.380000,594400
2022-01-18,10.250000,10.440000,9.390000,9.580000,9.580000,822300
2022-01-19,9.670000,10.080000,9.250000,9.500000,9.500000,846700
2022-01-20,9.730000,10.261000,9.560000,9.630000,9.630000,777300
2022-01-21,9.300000,9.780000,8.630000,8.885000,8.885000,1181700
2022-01-24,8.660000,9.299000,8.010000,9.210000,9.210000,864600
2022-01-25,9.000000,9.160000,8.420000,8.980000,8.980000,648300
2022-01-26,9.320000,9.880000,8.780000,8.930000,8.930000,861600
2022-01-27,9.300000,9.640000,8.050000,8.310000,8.310000,759300
2022-01-28,8.370000,8.680000,7.880000,8.660000,8.660000,823700
2022-01-31,8.721000,9.400000,8.670000,9.170000,9.170000,525900
2022-02-01,9.300000,9.830000,8.960000,9.560000,9.560000,848600
2022-02-02,9.710000,9.710000,8.900000,8.990000,8.990000,822700
2022-02-03,8.680000,9.040000,8.460000,8.570000,8.570000,604100
2022-02-04,8.670000,9.480000,8.511000,9.180000,9.180000,542600
2022-02-07,9.090000,10.400000,9.050000,10.180000,10.180000,951100
2022-02-08,10.020000,10.740000,9.990000,10.620000,10.620000,766700
2022-02-09,11.200000,11.450000,10.879000,11.400000,11.400000,1140900
2022-02-10,11.000000,11.800000,10.800000,11.140000,11.140000,1172400
2022-02-11,11.700000,11.700000,10.240000,10.450000,10.450000,694700
2022-02-14,10.350000,10.640000,10.060000,10.200000,10.200000,432100
2022-02-15,10.300000,11.040000,10.300000,10.970000,10.970000,401400
2022-02-16,10.970000,11.090000,10.700000,10.860000,10.860000,594000
2022-02-17,10.680000,11.040000,10.360000,10.390000,10.390000,422700
2022-02-18,10.240000,10.290000,9.550000,9.790000,9.790000,444900
2022-02-22,9.650000,9.780000,8.970000,9.070000,9.070000,623700
2022-02-23,9.230000,9.810000,9.110000,9.420000,9.420000,696000
2022-02-24,8.970000,11.389000,8.960000,11.320000,11.320000,1289500
2022-02-25,11.200000,11.720000,10.560000,11.690000,11.690000,621400
2022-02-28,12.010000,13.310000,12.000000,12.820000,12.820000,1520500
2022-03-01,13.140000,13.140000,11.570000,12.440000,12.440000,1028800
2022-03-02,12.640000,13.370000,12.450000,13.350000,13.350000,681000
2022-03-03,13.710000,13.710000,12.375000,12.720000,12.720000,709400
2022-03-04,12.700000,13.050000,12.162000,12.380000,12.380000,518600
2022-03-07,12.340000,13.375000,12.140000,12.440000,12.440000,960100
2022-03-08,12.680000,15.500000,12.680000,15.020000,15.020000,1556900
2022-03-09,15.020000,15.350000,14.050000,14.780000,14.780000,1124000
2022-03-10,15.800000,16.059999,13.800000,14.520000,14.520000,1129400
2022-03-11,14.650000,14.650000,13.070000,13.720000,13.720000,946000
2022-03-14,13.700000,13.810000,11.525000,11.590000,11.590000,1205300
2022-03-15,11.470000,11.578000,10.644000,10.780000,10.780000,1120900
2022-03-16,11.040000,11.200000,10.270000,10.750000,10.750000,1191800
2022-03-17,10.840000,11.650000,10.700000,11.460000,11.460000,1177800
2022-03-18,11.260000,11.830000,11.050000,11.070000,11.070000,1042700
2022-03-21,11.180000,11.380000,10.280000,10.630000,10.630000,1490400
2022-03-22,10.600000,11.290000,10.600000,11.000000,11.000000,892000
2022-03-23,10.990000,11.960000,10.820000,11.180000,11.180000,914700
2022-03-24,11.250000,11.250000,10.540000,11.220000,11.220000,914700
2022-03-25,11.250000,12.030000,10.910000,12.010000,12.010000,1105200
2022-03-28,11.850000,12.204000,11.230000,11.620000,11.620000,1038000
2022-03-29,11.610000,12.150000,11.350000,11.750000,11.750000,837500
2022-03-30,11.910000,13.160000,11.870000,12.390000,12.390000,1412300
2022-03-31,12.320000,13.090000,12.210000,12.670000,12.670000,700600
2022-04-01,12.740000,12.830000,11.560000,11.700000,11.700000,659200
2022-04-04,12.010000,12.980000,11.800000,12.790000,12.790000,903900
2022-04-05,12.900000,13.000000,12.200000,12.410000,12.410000,856300
2022-04-06,12.180000,12.430000,11.668000,11.810000,11.810000,496500
2022-04-07,11.930000,12.541000,11.560000,12.280000,12.280000,497400
2022-04-08,12.260000,12.400000,11.860000,12.030000,12.030000,374800
2022-04-11,11.720000,12.930000,11.670000,12.670000,12.670000,619000
2022-04-12,12.900000,13.650000,12.820000,12.890000,12.890000,974400
2022-04-13,13.080000,13.640000,12.870000,13.460000,13.460000,569600
2022-04-14,13.480000,13.780000,13.080000,13.170000,13.170000,477800
2022-04-18,13.070000,13.240000,12.496000,12.640000,12.640000,417100
2022-04-19,12.610000,12.820000,12.240000,12.390000,12.390000,378900
2022-04-20,12.470000,12.470000,11.010000,11.800000,11.800000,828500
