Date,Open,High,Low,Close,Adj Close,Volume
2022-02-16,1.410000,1.490000,1.410000,1.450000,1.450000,338200
2022-02-17,1.450000,1.460000,1.390000,1.420000,1.420000,360100
2022-02-18,1.420000,1.440000,1.350000,1.350000,1.350000,412100
2022-02-22,1.350000,1.390000,1.300000,1.310000,1.310000,326600
2022-02-23,1.310000,1.340000,1.280000,1.320000,1.320000,259600
2022-02-24,1.310000,1.390000,1.280000,1.340000,1.340000,642200
2022-02-25,1.340000,1.390000,1.310000,1.360000,1.360000,401200
2022-02-28,1.460000,1.500000,1.410000,1.460000,1.460000,724300
2022-03-01,1.440000,1.590000,1.440000,1.560000,1.560000,785300
2022-03-02,1.600000,1.810000,1.550000,1.770000,1.770000,1220700
2022-03-03,1.800000,1.820000,1.520000,1.680000,1.680000,1506900
2022-03-04,1.600000,1.680000,1.580000,1.630000,1.630000,489700
2022-03-07,1.720000,1.720000,1.560000,1.640000,1.640000,954300
2022-03-08,1.920000,2.120000,1.740000,1.780000,1.780000,6273100
2022-03-09,1.710000,1.900000,1.660000,1.860000,1.860000,1398700
2022-03-10,1.870000,1.880000,1.710000,1.800000,1.800000,1384600
2022-03-11,1.850000,1.850000,1.750000,1.800000,1.800000,1332400
2022-03-14,1.730000,1.740000,1.600000,1.600000,1.600000,894700
2022-03-15,1.570000,1.670000,1.560000,1.640000,1.640000,473300
2022-03-16,1.700000,1.700000,1.600000,1.660000,1.660000,425900
2022-03-17,1.680000,1.740000,1.650000,1.680000,1.680000,327500
2022-03-18,1.680000,1.830000,1.680000,1.770000,1.770000,640200
2022-03-21,1.770000,1.860000,1.770000,1.820000,1.820000,538700
2022-03-22,1.810000,1.870000,1.760000,1.800000,1.800000,448000
2022-03-23,1.800000,1.840000,1.770000,1.780000,1.780000,224800
2022-03-24,1.810000,1.890000,1.760000,1.840000,1.840000,453100
2022-03-25,1.840000,1.840000,1.750000,1.800000,1.800000,498600
2022-03-28,1.800000,1.800000,1.610000,1.680000,1.680000,958200
2022-03-29,1.590000,1.650000,1.550000,1.560000,1.560000,796800
2022-03-30,1.570000,1.750000,1.570000,1.610000,1.610000,1284500
2022-03-31,1.610000,1.730000,1.600000,1.670000,1.670000,2169300
2022-04-01,1.780000,1.890000,1.740000,1.850000,1.850000,2081400
2022-04-04,1.840000,1.850000,1.740000,1.830000,1.830000,910600
2022-04-05,1.820000,1.820000,1.610000,1.610000,1.610000,1511100
2022-04-06,1.590000,1.640000,1.570000,1.610000,1.610000,517800
2022-04-07,1.610000,1.630000,1.500000,1.530000,1.530000,842000
2022-04-08,1.560000,1.590000,1.500000,1.530000,1.530000,1228900
2022-04-11,1.520000,1.530000,1.420000,1.430000,1.430000,742500
2022-04-12,1.440000,1.480000,1.410000,1.430000,1.430000,337800
2022-04-13,1.440000,1.580000,1.440000,1.530000,1.530000,799400
2022-04-14,1.540000,1.540000,1.470000,1.510000,1.510000,441500
2022-04-18,1.510000,1.510000,1.450000,1.460000,1.460000,309300
2022-04-19,1.450000,1.480000,1.420000,1.450000,1.450000,444400
2022-04-20,1.430000,1.460000,1.400000,1.430000,1.430000,414600
2022-04-21,1.450000,1.450000,1.330000,1.360000,1.360000,446200
2022-04-22,1.330000,1.350000,1.280000,1.310000,1.310000,487100
2022-04-25,1.270000,1.270000,1.170000,1.200000,1.200000,908100
2022-04-26,1.210000,1.220000,1.120000,1.130000,1.130000,487400
2022-04-27,1.170000,1.220000,1.140000,1.150000,1.150000,405600
2022-04-28,1.150000,1.190000,1.090000,1.180000,1.180000,528900
2022-04-29,1.240000,1.280000,1.180000,1.190000,1.190000,912700
2022-05-02,1.160000,1.160000,1.120000,1.120000,1.120000,504100
2022-05-03,1.120000,1.180000,1.110000,1.150000,1.150000,445900
2022-05-04,1.140000,1.140000,1.000000,1.050000,1.050000,1167800
2022-05-05,1.060000,1.080000,1.000000,1.020000,1.020000,362500
2022-05-06,0.990000,0.990000,0.900000,0.900000,0.900000,633600
2022-05-09,0.890000,0.900000,0.820000,0.830000,0.830000,581800
2022-05-10,0.850000,0.860000,0.800000,0.820000,0.820000,547600
2022-05-11,0.820000,0.830000,0.760000,0.770000,0.770000,479600
2022-05-12,0.750000,0.800000,0.720000,0.750000,0.750000,629000
2022-05-13,0.770000,0.860000,0.770000,0.860000,0.860000,802600
2022-05-16,0.830000,0.850000,0.800000,0.810000,0.810000,178600
2022-05-17,0.830000,0.850000,0.800000,0.810000,0.810000,187900
2022-05-18,0.800000,0.800000,0.750000,0.750000,0.750000,198200
