Date,Open,High,Low,Close,Adj Close,Volume
2021-12-07,34.373333,34.996666,33.546665,33.779999,33.779999,152400
2021-12-08,33.799999,34.070000,33.333332,33.436668,33.436668,66900
2021-12-09,33.430000,33.733334,33.106667,33.153332,33.153332,65100
2021-12-10,33.476665,33.586666,32.066666,33.509998,33.509998,39600
2021-12-13,33.713333,33.786667,32.919998,32.923332,32.923332,114900
2021-12-14,33.200001,33.200001,32.183334,32.400002,32.400002,73200
2021-12-15,32.130001,33.333332,31.446667,33.153332,33.153332,90600
2021-12-16,33.439999,33.666668,32.450001,32.500000,32.500000,78000
2021-12-17,32.496666,32.816666,30.723333,31.570000,31.570000,272100
2021-12-20,31.260000,31.563334,30.553333,31.226667,31.226667,66300
2021-12-21,31.443333,32.403332,31.443333,32.233334,32.233334,57600
2021-12-22,31.910000,32.133331,31.586666,32.000000,32.000000,47400
2021-12-23,32.253334,33.536667,32.016666,33.033333,33.033333,65700
2021-12-27,33.130001,33.563332,32.833332,33.196667,33.196667,61800
2021-12-28,33.380001,33.660000,32.709999,32.803333,32.803333,55800
2021-12-29,32.996666,32.996666,32.136665,32.353333,32.353333,21300
2021-12-30,32.136665,32.576668,31.916668,32.313332,32.313332,30600
2021-12-31,32.186668,32.730000,32.000000,32.000000,32.000000,77400
2022-01-03,31.473333,34.080002,31.473333,33.773335,33.773335,204000
2022-01-04,34.099998,37.810001,33.423332,37.543331,37.543331,299400
2022-01-05,37.173332,37.173332,35.070000,35.160000,35.160000,174600
2022-01-06,35.626667,35.666668,32.759998,33.013332,33.013332,204000
2022-01-07,33.139999,33.936668,31.836666,33.006668,33.006668,103200
2022-01-10,33.033333,33.396667,32.426666,33.206669,33.206669,58200
2022-01-11,33.556667,34.126667,33.166668,33.686668,33.686668,56700
2022-01-12,33.496666,35.136665,33.110001,34.209999,34.209999,126000
2022-01-13,34.943333,36.103333,33.463333,33.650002,33.650002,172500
2022-01-14,33.779999,36.493332,33.389999,35.313332,35.313332,153600
2022-01-18,35.000000,35.206669,33.840000,34.326668,34.326668,84900
2022-01-19,33.506668,34.029999,33.116669,33.523335,33.523335,33600
2022-01-20,33.163334,34.240002,32.443333,32.643333,32.643333,54900
2022-01-21,32.786667,33.403332,32.056667,32.250000,32.250000,63300
2022-01-24,31.833332,33.273335,30.706667,32.959999,32.959999,119100
