Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,2.360000,2.380000,2.170000,2.190000,2.190000,6689800
2022-10-28,2.200000,2.240000,2.100000,2.180000,2.180000,6024400
2022-10-31,2.160000,2.280000,2.140000,2.250000,2.250000,6253500
2022-11-01,2.310000,2.370000,2.260000,2.290000,2.290000,7203900
2022-11-02,2.260000,2.320000,2.160000,2.160000,2.160000,7995600
2022-11-03,2.170000,2.290000,2.140000,2.250000,2.250000,6280800
2022-11-04,2.310000,2.340000,2.190000,2.260000,2.260000,8996400
2022-11-07,2.270000,2.300000,2.220000,2.290000,2.290000,5337700
2022-11-08,2.290000,2.320000,2.160000,2.230000,2.230000,7061400
2022-11-09,2.100000,2.130000,1.800000,1.810000,1.810000,10747900
2022-11-10,1.960000,2.110000,1.880000,2.110000,2.110000,10463000
2022-11-11,2.030000,2.420000,2.030000,2.410000,2.410000,12870200
2022-11-14,2.370000,2.420000,2.270000,2.370000,2.370000,10133400
2022-11-15,2.420000,2.490000,2.380000,2.470000,2.470000,8373000
2022-11-16,2.400000,2.420000,2.310000,2.330000,2.330000,5350200
2022-11-17,2.240000,2.290000,2.170000,2.260000,2.260000,5974000
2022-11-18,2.270000,2.280000,2.160000,2.210000,2.210000,5358800
2022-11-21,2.170000,2.180000,1.980000,2.110000,2.110000,8570200
2022-11-22,2.100000,2.120000,2.050000,2.110000,2.110000,3787000
2022-11-23,2.110000,2.120000,2.050000,2.100000,2.100000,3897500
2022-11-25,2.070000,2.200000,2.070000,2.180000,2.180000,2652200
2022-11-28,2.110000,2.110000,1.970000,1.980000,1.980000,6241300
2022-11-29,2.000000,2.050000,1.980000,2.020000,2.020000,4478300
2022-11-30,2.020000,2.180000,2.010000,2.180000,2.180000,8855100
2022-12-01,2.170000,2.230000,2.090000,2.110000,2.110000,6527900
2022-12-02,2.060000,2.160000,2.050000,2.140000,2.140000,4567400
2022-12-05,2.120000,2.170000,1.950000,1.970000,1.970000,8858400
2022-12-06,2.000000,2.021100,1.845000,1.870000,1.870000,12917262
