Date,Open,High,Low,Close,Adj Close,Volume
2022-02-03,5.070000,5.170000,4.960000,5.000000,5.000000,1228800
2022-02-04,5.020000,5.260000,5.000000,5.230000,5.230000,1227600
2022-02-07,5.240000,5.350000,5.130000,5.250000,5.250000,1266400
2022-02-08,5.280000,5.300000,5.160000,5.290000,5.290000,1090500
2022-02-09,5.310000,5.650000,5.280000,5.630000,5.630000,1801300
2022-02-10,5.530000,5.940000,5.470000,5.660000,5.660000,1816200
2022-02-11,5.590000,5.790000,5.550000,5.650000,5.650000,1375100
2022-02-14,5.630000,5.740000,5.510000,5.600000,5.600000,1761300
2022-02-15,5.640000,5.940000,5.580000,5.850000,5.850000,1538300
2022-02-16,5.860000,5.980000,5.680000,5.710000,5.710000,2046000
2022-02-17,5.670000,5.830000,5.580000,5.680000,5.680000,1620900
2022-02-18,5.640000,5.680000,5.330000,5.380000,5.380000,1427800
2022-02-22,5.250000,5.440000,5.150000,5.190000,5.190000,2485100
2022-02-23,5.240000,5.400000,5.080000,5.150000,5.150000,1795800
2022-02-24,5.060000,5.500000,5.020000,5.490000,5.490000,2068200
2022-02-25,5.470000,5.620000,5.290000,5.600000,5.600000,1326000
2022-02-28,5.560000,5.930000,5.560000,5.830000,5.830000,1728100
2022-03-01,5.850000,6.010000,5.670000,5.870000,5.870000,1607500
2022-03-02,5.960000,6.170000,5.870000,6.080000,6.080000,1837900
2022-03-03,6.080000,6.080000,5.750000,5.800000,5.800000,1801600
2022-03-04,5.760000,5.920000,5.620000,5.700000,5.700000,2231300
2022-03-07,5.750000,6.090000,5.670000,5.740000,5.740000,3710400
2022-03-08,5.760000,6.080000,5.530000,6.060000,6.060000,4091600
2022-03-09,6.020000,6.020000,5.670000,5.890000,5.890000,2704200
2022-03-10,5.880000,6.070000,5.660000,5.840000,5.840000,5683100
2022-03-11,6.510000,6.510000,5.670000,6.130000,6.130000,8913700
2022-03-14,6.020000,6.080000,5.450000,5.550000,5.550000,3657600
2022-03-15,5.410000,5.540000,5.260000,5.470000,5.470000,2342400
2022-03-16,5.470000,5.570000,5.330000,5.480000,5.480000,2844000
2022-03-17,5.550000,5.960000,5.500000,5.950000,5.950000,2978100
2022-03-18,5.920000,5.980000,5.680000,5.690000,5.690000,2448200
2022-03-21,5.730000,5.870000,5.670000,5.710000,5.710000,2461700
2022-03-22,5.700000,6.180000,5.640000,5.920000,5.920000,3632800
2022-03-23,5.990000,6.290000,5.920000,6.220000,6.220000,2749300
2022-03-24,6.250000,6.860000,6.210000,6.850000,6.850000,3440500
2022-03-25,6.830000,7.210000,6.720000,7.000000,7.000000,4149500
2022-03-28,6.870000,7.000000,6.610000,6.710000,6.710000,2510500
2022-03-29,6.680000,7.050000,6.490000,6.970000,6.970000,3212100
2022-03-30,7.010000,7.200000,6.730000,6.830000,6.830000,3766700
2022-03-31,6.880000,7.270000,6.810000,6.820000,6.820000,3537900
2022-04-01,7.060000,7.140000,6.780000,6.930000,6.930000,2509700
2022-04-04,6.900000,7.010000,6.780000,6.910000,6.910000,1611400
2022-04-05,6.990000,7.070000,6.530000,6.560000,6.560000,2020200
2022-04-06,6.540000,6.780000,6.420000,6.640000,6.640000,1933300
2022-04-07,6.670000,6.790000,6.410000,6.610000,6.610000,1185200
2022-04-08,6.620000,6.740000,6.550000,6.610000,6.610000,1085500
2022-04-11,6.500000,6.570000,6.330000,6.360000,6.360000,1257200
2022-04-12,6.560000,6.870000,6.560000,6.660000,6.660000,3774800
2022-04-13,6.660000,7.240000,6.620000,7.180000,7.180000,4985500
2022-04-14,7.110000,7.370000,7.010000,7.080000,7.080000,2913800
2022-04-18,7.100000,7.190000,6.560000,6.580000,6.580000,2736400
2022-04-19,6.570000,6.620000,6.470000,6.570000,6.570000,1342700
2022-04-20,6.610000,6.610000,6.210000,6.380000,6.380000,2345300
2022-04-21,6.420000,6.480000,6.010000,6.070000,6.070000,2432500
2022-04-22,6.010000,6.210000,5.780000,5.820000,5.820000,2041000
2022-04-25,5.670000,5.930000,5.630000,5.870000,5.870000,1904600
2022-04-26,5.820000,5.920000,5.690000,5.710000,5.710000,1511400
